project_id,project,customer_id,customer,date,youtube_id
22962,Mes services,720,IAD,2019-03-04 17:18:49,TKOB3BSIz94
22976,A votre service,720,IAD,2019-03-04 20:40:48,n5OJoXB5Ltk
22982,Chatillon,720,IAD,2019-03-05 09:07:33,meI-zrSmgXc
23059,Presentation metier,720,IAD,2019-03-06 11:04:49,J_w7vzrHxGo
23062,orry la,720,IAD,2019-03-06 11:28:18,yvvaWwJXxgE
23067,présentation iAd,720,IAD,2019-03-06 12:07:50,alxe6UJUMkM
23179,"Niort, maison 3 chambres",720,IAD,2019-03-07 16:53:16,nLLJh_pZH7A
23219,Nicolas Cadu iad,720,IAD,2019-03-08 11:16:09,3KQ0S0fzKc8
23227,Fauville en caux maison 4 chambres,720,IAD,2019-03-08 12:54:03,Bq4XaUNjO4s
23280,Agnès Gautier,720,IAD,2019-03-10 16:41:54,oKrIGBLd_Zc
23297,Kev,720,IAD,2019-03-11 10:07:54,xbivnWQz19s
23333,"Estérel, magnifique vue pour cette belle villa provençale avec piscine",720,IAD,2019-03-11 15:13:05,OTonZjiZHTc
23408,"vous avez un projet, contactez moi",720,IAD,2019-03-12 17:50:53,mKRqoREiWtE
23553,Murielle Joliveau Immobilier,720,IAD,2019-03-15 13:37:27,y1xUUjpxlwU
23568,Investissement Niort,720,IAD,2019-03-15 16:47:57,J-D_GBqH2DU
23575,Ile de re,720,IAD,2019-03-16 09:48:25,Uvoie6LOcS8
23579,iad,720,IAD,2019-03-17 00:29:09,DLZa7PBaSm0
23708,Recherche biens,720,IAD,2019-03-19 17:02:31,vptfhrFC_ac
23712,Montévrain Gare,720,IAD,2019-03-19 17:40:39,ZsHewSX4u6Q
23714,Maison individuelle Lisses 320.000€,720,IAD,2019-03-19 17:45:10,NsplnmDfvKg
23776,Natario mireille,720,IAD,2019-03-20 18:12:55,I6-lhaf3nVA
23811,Athis,720,IAD,2019-03-21 11:25:31,QCUlwTc-mSs
23875,presentation services iad LINDA LEMARIÉ,720,IAD,2019-03-21 19:55:23,6R2va198jvM
23878,VIAGER occupé sans rente sur Mandelieu,720,IAD,2019-03-21 21:05:37,Ks8aZMBeCPw
23920,Athis mons 56 m2,720,IAD,2019-03-22 16:22:45,56vg6EnEMng
23947,IAD France Vincennes,720,IAD,2019-03-24 21:24:33,WGyrHx6vRbg
24001,Savigny,720,IAD,2019-03-25 15:05:05,0Y0kRsBKbdw
24026,Maison Rians 149 000 €,720,IAD,2019-03-25 18:03:28,5XXDqGjplUE
24102,maison moulis,720,IAD,2019-03-26 16:58:48,J5zvMYQ9s4U
24113,présentation des services Amandine Faget,720,IAD,2019-03-27 07:02:00,6rJezNpjM8Y
24341,Richebourg 605786,720,IAD,2019-03-29 17:53:47,vxHeMbcP0WE
24347,Projet Facebook,720,IAD,2019-03-29 20:23:15,Y_InQDuq_GY
24354,Marsannay le Bois,720,IAD,2019-03-30 11:20:16,O8yUhgFp17M
24449,Présentation IAD France / Lou Hennequin,720,IAD,2019-04-02 09:05:37,rK9nnJt7MxU
24536,Arlette new,720,IAD,2019-04-03 11:29:02,x6Wq4Ml_z_0
24573,maison de ville à Niort,720,IAD,2019-04-03 19:14:16,7eIz2qMTrgs
24594,Cap horizon 2,720,IAD,2019-04-04 10:06:45,xDFquJQMXEI
24653,Carré d’or NICE,720,IAD,2019-04-04 19:59:03,9muyhOd7Ewo
24750,Maison 90m2 Bretteville du Grand Caux,720,IAD,2019-04-08 08:40:19,r6dI1AgtQuo
24799,Maison Vaires 3 pièces,720,IAD,2019-04-08 18:35:42,scYlztiVwgM
24853,Villaré,720,IAD,2019-04-09 15:25:56,dPpxVJbuwQs
24910,Nice-Etoile,720,IAD,2019-04-10 14:16:57,TelKJcMCxNg
24932,Floirac,720,IAD,2019-04-10 17:17:21,BQQMurrPYW8
24974,Ventes BDB,720,IAD,2019-04-11 12:50:41,68TjB3AHoFk
25071,tyrosse,720,IAD,2019-04-13 21:18:21,Udr6RxoXKXo
25113,Maison Livry Gargan,720,IAD,2019-04-15 12:35:05,Wa0r6PcbT-I
25121,Maison Annet sur Marne,720,IAD,2019-04-15 12:56:55,TC1Tdri39wM
25148,Cruzy-le-Châtel,720,IAD,2019-04-15 15:57:18,nlZjrSifpIY
25445,Test,720,IAD,2019-04-19 09:22:10,AoAk7RcA4yM
25469,Niort,720,IAD,2019-04-19 15:33:56,RzMjIY-6eRg
25523,Virginie Biesse Motion Design,720,IAD,2019-04-23 13:05:29,7PeRkU6BKMs
25566,Appartement luynes,720,IAD,2019-04-24 11:13:16,HrmCI8Rz0MU
25610,NICE - quartier Libération,720,IAD,2019-04-24 21:00:43,km_B9f5qV7o
25759,maison viry ludo,720,IAD,2019-04-28 11:57:27,Kzt9RccW1mQ
25803,Maison familliale Cavaillon,720,IAD,2019-04-29 14:25:15,JR-CzAH4aJk
25878,test itw,720,IAD,2019-04-30 17:33:33,CuC7i-0x-50
25893,Massy Immobilier Célia Brunet Iadfrance,720,IAD,2019-04-30 22:24:00,gQxDroTcoTQ
25999,stmasmes,720,IAD,2019-05-03 19:46:33,-cEPq_TTLFs
26016,Longère LE CLOITRE PLEYBEN,720,IAD,2019-05-06 11:58:03,JGCZkWozhiY
26028,carte de visite,720,IAD,2019-05-06 14:14:01,e0VgXH843OQ
26244,Appartement Cabries,720,IAD,2019-05-11 10:31:51,kYE2c9nhAGM
26479,Christophe Seurt Cheroy,720,IAD,2019-05-16 14:14:58,nPwiKX3qpEQ
26665,cmonprêt,720,IAD,2019-05-20 21:42:41,z1M-mdcogyc
26946,"Exclusivité iad ""Axe Châlons/Reims"".",720,IAD,2019-05-24 19:40:33,oc1aQkj_uV0
26949,Presentation des services,720,IAD,2019-05-25 15:56:23,SlKSTjGAjB8
26954,maison Mennecy,720,IAD,2019-05-26 15:23:38,QK6x8O6uG-Y
27076,Recrutement,720,IAD,2019-05-28 09:04:21,XTSkMRL-0Rk
27252,NEUFMOUTIERS EN BRIE,720,IAD,2019-05-31 10:09:21,41Nz7wlELnU
27372,Viry,720,IAD,2019-06-04 03:23:42,QUYwD7ddyb8
27389,Morangis 01,720,IAD,2019-06-04 09:00:17,eCV-4JPXEzI
27393,À VENDRE studio à Fontenay-Trésigny (77),720,IAD,2019-06-04 09:33:06,fWI5Sc0loRs
27551,Savigny 2,720,IAD,2019-06-05 21:55:10,kERzVjlJDc0
27566,Un coin de Paradis 4km Dourdan,720,IAD,2019-06-06 11:00:15,G_5r_rNWiTM
27623,Mas Lambesc,720,IAD,2019-06-07 06:37:48,lB8qiAbSz9c
27712,Saint Maurice Les Brousses,720,IAD,2019-06-08 17:06:13,w6pifdKrr0w
27721,Recrutement,720,IAD,2019-06-10 10:31:23,LooEORaox8U
27809,Double vasques,720,IAD,2019-06-12 07:09:05,BqGAYhZ7RhY
27813,Presentation femme,720,IAD,2019-06-12 07:31:31,gl_hqnN8FSk
23945,Promotion iad Nicolas,720,IAD,2019-03-24 14:16:27,FqAsOerS_WE
23989,presentation des services Delphine Juin,720,IAD,2019-03-25 13:27:33,Jl7GR_acfds
24041,seignosse,720,IAD,2019-03-26 09:07:18,TV7Id2Iv1oc
24114,présentation Aline Giacalone,720,IAD,2019-03-27 07:46:38,SNHyZOnyunA
24200,Appartement 68 m2 chateauneuf les Martigues,720,IAD,2019-03-27 20:56:40,MzVL8aV8jkg
24230,pivchar,720,IAD,2019-03-28 14:09:18,DG9-vexOYv4
24265,Aperorezo bistronomic,720,IAD,2019-03-28 22:16:08,6djoXPfGBos
24353,Champigny,720,IAD,2019-03-30 10:35:24,eS7qjsw5bAM
24363,Aurélie Geneix IAD France,720,IAD,2019-03-31 21:41:12,JKPPtuaXvdc
24441,Maison Lancon-Provence,720,IAD,2019-04-02 06:57:15,2ffePyhsuqs
24505,Visite Bien P. Marsannay Le Bois,720,IAD,2019-04-02 18:45:27,0DEjNYX0xGk
24597,vidéo présentation,720,IAD,2019-04-04 10:26:37,fpyBw_4L90o
24800,Josse Marie,720,IAD,2019-04-08 19:06:50,D-3jQxNyAuw
24922,présentation Iadfrance,720,IAD,2019-04-10 15:48:45,O8fuM0QcSuo
24971,Moi,720,IAD,2019-04-11 12:39:52,yz3pbW7nZxQ
25004,Pantin,720,IAD,2019-04-11 18:16:55,iJqN7neL8kQ
25060,motion design moi,720,IAD,2019-04-13 08:16:38,XsQQSorvpWg
25318,Prez Dassimmo,720,IAD,2019-04-17 14:27:46,y-sn4NF6Hok
25481,Bien d’exception à Châlons en Champagne.,720,IAD,2019-04-20 20:56:29,s0jBVETBEkk
25520,Entree,720,IAD,2019-04-23 12:34:06,Hnw0OE7moRk
25609,Ma presentation,720,IAD,2019-04-24 20:24:57,J2huTV_DB5s
25672,Belle maison bourgeoise,720,IAD,2019-04-25 19:13:38,IarF5T1qWgU
25753,chambre 2,720,IAD,2019-04-26 19:55:09,kOhqqH8rhzE
25756,Présentation,720,IAD,2019-04-27 09:07:47,w0oJO6W4vck
